"country","iucn_cat","count","area_ha"
"CHL","III",15,28194.9544083536
"CHL","IV",100,5541968.92303376
"CHL","Not Applicable",22,8197424.38485936
"CHL","Not Reported",5,31458.1350399834
"CHN","Ia",1,44247.0023179475
"CHN","IV",2,30552.8453554386
"CHN","Not Applicable",39,8600863.66221404
"CHN","Not Reported",5,96369.4338266811
"CHN","V",673,124721590.958331
"CHN","VI",10,3926341.21486975
"CIV","Ia",3,57830.7009261719
"CIV","II",8,1888253.08422829
"CIV","IV",2,89991.0526814972
"CIV","Not Applicable",4,2687940.4216168
"CIV","Not Reported",223,5022482.44086758
"CIV,GIN","Not Applicable",1,19256.1104631762
"CMR","II",17,2825398.52876086
"CMR","IV",9,1059878.00555546
"CMR","Not Applicable",4,1509125.56057899
"CMR","Not Reported",67,1973433.79673062
"CMR,CAF,COG","Not Applicable",1,754915.027766456
"COD","Ia",1,223108.455206397
"COD","Ib",1,654640.150164803
"COD","II",9,NaN
"COD","Not Applicable",7,NaN
"COD","Not Reported",17,6230193.46572031
"COD","VI",11,6776812.04623382
"COG","II",3,2297100.01958589
"COG","IV",3,953980.092721579
"COG","Not Applicable",3,1976034.54843376
"COG","Not Reported",4,133157.429271211
"COK","IV",1,40.8773470142599
"COK","Not Reported",4,169.761343408429
"COL","II",36,6896600.40145906
"COL","III",1,634.720999281984
"COL","IV",11,1034429.78564822
"COL","Not Applicable",3,1581199.56053042
"COL","Not Reported",564,26768616.8675083
"COL","VI",6,72632.8749199045
"COM","Not Applicable",1,1166.93489086856
"CPV","Not Reported",3,10182.5226538545
"CRI","Ia",9,29754.0155914384
"CRI","Ib",1,1254.63016734182
"CRI","II",23,990209.023610944
"CRI","IV",38,186335.891073603
"CRI","Not Applicable",7,427664.811722023
"CRI","Not Reported",57,221471.248042177
"CRI","VI",40,373462.319912352
"CRI,PAN","Not Applicable",1,404760.89760612
"CUB","Ib",2,5848.72909044359
"CUB","II",28,1112995.5114831
"CUB","III",1,126.487318362238
"CUB","IV",21,309954.463682828
"CUB","Not Applicable",14,2943444.9139783
"CUB","Not Reported",189,933380.126885321
"CUB","V",6,9537.45931829788
"CUB","VI",12,1839619.28924016
"CUW","II",1,2310.90400875301
"CUW","Not Reported",8,1915.46201105779
"CYM","Ib",3,1521.13708867007
"CYM","II",12,1685.32327585574
"CYM","IV",31,7581.11307981997
"CYM","Not Applicable",1,137.662421355222
"CYM","Not Reported",2,659.831788796193
"CYP","Ia",1,3331.32923439939
"CYP","II",14,16146.1158437375
"CYP","III",1,0.0370444612880483
"CYP","Not Applicable",62,228352.701747267
"CYP","V",1,870.862309461566
"CZE","Ia",1,227.692229519507
"CZE","Ib",6,10007.49216691
"CZE","II",4,119104.201631083
"CZE","III",537,22239.6894291127
"CZE","IV",1792,66091.3220000313
"CZE","Not Applicable",1137,1592807.90624679
"CZE","V",36,1089898.18177062
"DEU","II",14,1027315.5388205
"DEU","IV",8057,1973371.72043247
"DEU","Not Applicable",5313,12894449.3058586
"DEU","Not Reported",622,622164.985219386
"DEU","V",8067,10084765.395518
"DJI","Ia",1,223.045072179499
"DJI","Not Reported",1,75.8889096117179
"DJI","VI",1,1006.85152449932
"DMA","II",1,6698.73822391399
"DMA","Not Applicable",1,6698.73822391399
"DMA","VI",2,9234.60824676462
"DNK","Ia",6,1814.75064528605
"DNK","Ib",7,15157.4642549503
"DNK","II",9,13475.3983863635
