"f1_id","f2_id","perc"
64536,555539161,89.9434194517367
64536,555579984,89.9434194517367
67912,555543231,100
67912,149742,45.3947037591663
67912,149874,44.8964870395841
67912,555538766,100
67912,555580044,100
67913,555543229,99.9983064249363
67913,175205,35.2021214849403
67913,151019,9.81476191670263
67913,329900,9.52606134983269
67913,555538765,96.6624296728453
67913,555580043,96.6624296728453
67914,555539204,80.3060003481704
67914,555539214,15.9362992830955
67914,555579965,80.3060003481704
67914,555579966,15.9362992830955
67915,555539212,98.1287484119541
67915,555579964,98.1287484119541
67919,101985,31.6792309195324
67919,151165,33.7936600347683
67919,330342,5.8504558311962
67919,555538754,31.8921216352835
67919,555538761,47.574913410952
67919,555580038,31.8921216352835
67919,555580040,47.574913410952
67916,555543211,99.9988398784502
67916,175904,1.52551445836077
67916,175684,23.2136382191735
67916,175867,10.5200689606155
67916,345257,15.5363445839288
67916,555550658,1.68227992390271
67916,555550895,9.59562368340277
67916,555538988,97.8510082607807
67916,555580165,97.8510082607807
67917,150220,93.2661028340277
67917,555539156,93.4287810656379
67917,555579982,93.4287810656379
67918,555543230,99.9464562321626
67918,150839,14.8923910033566
67918,150927,1.6410060887392
67918,149783,1.1230384645325
67918,150966,5.34405656630574
67918,150967,1.94617384045094
67918,150965,24.8473697443981
67918,397706,20.7901550844545
67918,555538764,87.6452004242565
67918,555580047,87.6452004242565
902757,555538945,20.0617905505243
902757,555538949,22.6615201428351
902757,555538946,19.5590914061833
902757,555538944,6.01165795003648
902757,555538948,10.7698324441111
902758,555515375,1.3997958820276
902758,555538893,53.8612793672415
902758,555538897,18.8101191613654
902758,555538924,10.0640126700828
902758,555580099,53.8612793672415
902758,555580124,10.0640126700828
902759,555539059,87.1364165539454
902759,555580226,87.1364165539454
902760,555543217,56.4703435528604
902760,555543218,15.6203398948088
902760,555543219,23.4240692585128
902760,555539060,50.0803379179059
902760,555539063,3.59516424925056
902760,555539062,21.4301533317694
902760,555539061,13.0177417240019
902760,555580223,50.0803379179059
902760,555580224,3.59516424925056
902760,555580225,21.4301533317694
